venue,city,matches_played,unique_winners
M Chinnaswamy Stadium,Bangalore,64,10
Eden Gardens,Kolkata,61,10
Feroz Shah Kotla,Delhi,59,11
Wankhede Stadium,Mumbai,57,11
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,49,9
"MA Chidambaram Stadium, Chepauk",Chennai,48,9
"Punjab Cricket Association Stadium, Mohali",Chandigarh,35,9
Sawai Mansingh Stadium,Jaipur,33,6
Dr DY Patil Sports Academy,Mumbai,17,8
Subrata Roy Sahara Stadium,Pune,17,9
Kingsmead,Durban,15,7
Maharashtra Cricket Association Stadium,Pune,15,7
SuperSport Park,Centurion,12,7
"Sardar Patel Stadium, Motera",Ahmedabad,12,6
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,11,6
